split,source_file,export_file,boxes
train,4f09302b172b0a38.jpg,train_4f09302b172b0a38.jpg,1
train,b1c4c93a0d96f8b7.jpg,train_b1c4c93a0d96f8b7.jpg,3
train,5a6e03378170f5fc.jpg,train_5a6e03378170f5fc.jpg,1
train,4c0e7deacf556b1e.jpg,train_4c0e7deacf556b1e.jpg,70
train,a8ccafe128fa817e.jpg,train_a8ccafe128fa817e.jpg,6
train,05c06faedbf36b46.jpg,train_05c06faedbf36b46.jpg,9
train,caa9ab6f42493a72.jpg,train_caa9ab6f42493a72.jpg,7
train,57c9a9bfaf74d71d.jpg,train_57c9a9bfaf74d71d.jpg,1
train,4ab9a8be0e7cc532.jpg,train_4ab9a8be0e7cc532.jpg,1
train,2d9627ca89a77e6f.jpg,train_2d9627ca89a77e6f.jpg,1
train,e61b1ebcab7f71e6.jpg,train_e61b1ebcab7f71e6.jpg,3
train,5035a6e26ed34b35.jpg,train_5035a6e26ed34b35.jpg,1
train,049c3470b12d52fd.jpg,train_049c3470b12d52fd.jpg,4
train,df3291417c308022.jpg,train_df3291417c308022.jpg,3
train,95e4ce67efff52a5.jpg,train_95e4ce67efff52a5.jpg,22
train,ae03527a1f438b74.jpg,train_ae03527a1f438b74.jpg,6
train,44d71bd6ba77a6e5.jpg,train_44d71bd6ba77a6e5.jpg,1
train,10f3c6657a15612f.jpg,train_10f3c6657a15612f.jpg,10
train,992926df855dedcc.jpg,train_992926df855dedcc.jpg,1
train,11d3b980891d73fa.jpg,train_11d3b980891d73fa.jpg,2
train,d8e899fc88393d15.jpg,train_d8e899fc88393d15.jpg,2
train,00834dbb530e2793.jpg,train_00834dbb530e2793.jpg,3
train,99f39cba1ef78b3d.jpg,train_99f39cba1ef78b3d.jpg,1
train,33976ef7abba5444.jpg,train_33976ef7abba5444.jpg,21
train,409ef5f1e658192e.jpg,train_409ef5f1e658192e.jpg,2
train,fdc63a76522fbc15.jpg,train_fdc63a76522fbc15.jpg,1
train,876f38b91ffacef1.jpg,train_876f38b91ffacef1.jpg,1
train,c2382ce5bc526b57.jpg,train_c2382ce5bc526b57.jpg,3
train,e20580b1b3ecd929.jpg,train_e20580b1b3ecd929.jpg,1
train,04b2407286191060.jpg,train_04b2407286191060.jpg,6
train,c145b2af3aa28caf.jpg,train_c145b2af3aa28caf.jpg,1
train,01dbc66a641c11a3.jpg,train_01dbc66a641c11a3.jpg,19
train,4faeeb931e24f414.jpg,train_4faeeb931e24f414.jpg,7
train,8ddffaa1a5ddada1.jpg,train_8ddffaa1a5ddada1.jpg,18
train,09cc32dd6fd5de0c.jpg,train_09cc32dd6fd5de0c.jpg,4
train,b7676a5a1f33e52c.jpg,train_b7676a5a1f33e52c.jpg,2
train,e39495e53357095f.jpg,train_e39495e53357095f.jpg,2
train,5becf91d74bd571f.jpg,train_5becf91d74bd571f.jpg,1
train,1f9809d2485ec7b3.jpg,train_1f9809d2485ec7b3.jpg,12
train,ac1485d098bc6324.jpg,train_ac1485d098bc6324.jpg,2
train,ee842751b5671c98.jpg,train_ee842751b5671c98.jpg,9
train,7be3e7d971393c0b.jpg,train_7be3e7d971393c0b.jpg,7
train,f9529e673fbd4308.jpg,train_f9529e673fbd4308.jpg,2
train,d7843edcca0a38d5.jpg,train_d7843edcca0a38d5.jpg,10
train,3dc08213b1a32745.jpg,train_3dc08213b1a32745.jpg,1
train,bd01a5f35349d498.jpg,train_bd01a5f35349d498.jpg,1
train,b15cab91d671b3e1.jpg,train_b15cab91d671b3e1.jpg,1
train,c64fa831c6f0bb74.jpg,train_c64fa831c6f0bb74.jpg,15
train,4fe50d9a86e93134.jpg,train_4fe50d9a86e93134.jpg,5
train,b227383e6cf19511.jpg,train_b227383e6cf19511.jpg,1
train,e0779d2e140087d6.jpg,train_e0779d2e140087d6.jpg,8
train,7ca1f4ddbb0d8b13.jpg,train_7ca1f4ddbb0d8b13.jpg,2
train,87bae9d036c5f65f.jpg,train_87bae9d036c5f65f.jpg,7
train,248f3e2be2b4cf01.jpg,train_248f3e2be2b4cf01.jpg,1
train,53639be77f2abd18.jpg,train_53639be77f2abd18.jpg,2
train,18870a31b469864f.jpg,train_18870a31b469864f.jpg,3
train,945868a4bb6e5fe6.jpg,train_945868a4bb6e5fe6.jpg,3
train,0c3b82b50ed1e07a.jpg,train_0c3b82b50ed1e07a.jpg,14
train,050ad76d99bac759.jpg,train_050ad76d99bac759.jpg,1
train,a9d7dccd9a1f739e.jpg,train_a9d7dccd9a1f739e.jpg,7
train,80aa0f85dcbe3b3c.jpg,train_80aa0f85dcbe3b3c.jpg,2
train,a68c19bcf0409b82.jpg,train_a68c19bcf0409b82.jpg,14
train,e16824014134f255.jpg,train_e16824014134f255.jpg,1
train,6bada46302fca3d5.jpg,train_6bada46302fca3d5.jpg,2
train,d36fc0f45a392c13.jpg,train_d36fc0f45a392c13.jpg,1
train,06aedd7a3bdd517a.jpg,train_06aedd7a3bdd517a.jpg,1
train,e3a8c707ff24d650.jpg,train_e3a8c707ff24d650.jpg,1
train,03e8b76f6d605630.jpg,train_03e8b76f6d605630.jpg,1
train,0092a699d0c030cf.jpg,train_0092a699d0c030cf.jpg,2
train,329f50080f0d8147.jpg,train_329f50080f0d8147.jpg,5
train,c4a23fc585f438fa.jpg,train_c4a23fc585f438fa.jpg,4
train,9f19865d1e6eb65a.jpg,train_9f19865d1e6eb65a.jpg,6
train,00342fe8d91c28a0.jpg,train_00342fe8d91c28a0.jpg,2
train,6eedcfb6c0034e15.jpg,train_6eedcfb6c0034e15.jpg,3
train,d5e78cf0104c9ba4.jpg,train_d5e78cf0104c9ba4.jpg,2
