epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8885,1.46826,2.9816,0.01158,0.57993,0.49035,0.48196,0.25145,1.47573,3.80573,0.03252,0.000649573,0.000649573,0.000649573
2,40.1244,1.68636,1.90417,0.0143,0.47688,0.48573,0.42778,0.2058,1.74428,3.4147,0.03929,0.00128366,0.00128366,0.00128366
3,51.6613,1.70699,1.81445,0.01551,0.53379,0.38996,0.3759,0.18325,1.93331,4.44388,0.04719,0.00188475,0.00188475,0.00188475
4,63.3645,1.73287,1.85396,0.01581,0.16868,0.1277,0.09313,0.03415,2.38457,4.54834,0.05957,0.0018515,0.0018515,0.0018515
5,75.3752,1.76437,1.76573,0.01579,0.41173,0.59846,0.43013,0.23074,1.88372,2.50727,0.04584,0.001802,0.001802,0.001802
6,87.0398,1.77536,1.67104,0.01509,0.50059,0.52124,0.43967,0.2471,2.05888,2.99833,0.0509,0.0017525,0.0017525,0.0017525
7,99.1829,1.73616,1.63261,0.01559,0.58726,0.58232,0.52432,0.28362,1.84308,2.52781,0.04329,0.001703,0.001703,0.001703
8,110.763,1.70983,1.60215,0.01572,0.67485,0.55295,0.57395,0.32155,1.79233,1.92262,0.04267,0.0016535,0.0016535,0.0016535
9,122.519,1.71506,1.56521,0.01452,0.5932,0.62548,0.51336,0.31436,1.60883,2.30771,0.03694,0.001604,0.001604,0.001604
10,134.377,1.68158,1.48914,0.01439,0.52484,0.59846,0.51941,0.29204,1.7399,2.095,0.03965,0.0015545,0.0015545,0.0015545
11,146.252,1.63915,1.49207,0.01431,0.50787,0.62548,0.51087,0.29955,1.76923,1.80645,0.03962,0.001505,0.001505,0.001505
12,158.043,1.63286,1.43563,0.01419,0.60071,0.62934,0.55564,0.33685,1.73666,1.76275,0.04025,0.0014555,0.0014555,0.0014555
13,170.042,1.60557,1.35468,0.01327,0.59012,0.57915,0.51623,0.31444,1.65395,1.66674,0.0374,0.001406,0.001406,0.001406
14,181.891,1.61004,1.37491,0.01361,0.57074,0.61603,0.55178,0.34478,1.57872,1.96829,0.03525,0.0013565,0.0013565,0.0013565
15,193.698,1.59594,1.34753,0.01336,0.62291,0.6332,0.57794,0.37293,1.51703,1.9439,0.03268,0.001307,0.001307,0.001307
16,205.416,1.54472,1.26661,0.01279,0.61401,0.58347,0.57695,0.37702,1.59411,1.88669,0.03463,0.0012575,0.0012575,0.0012575
17,217.186,1.56418,1.28741,0.01337,0.61214,0.54054,0.54628,0.33774,1.59395,1.99513,0.03574,0.001208,0.001208,0.001208
18,228.686,1.58885,1.28676,0.01277,0.65322,0.57143,0.61168,0.39401,1.53308,1.94859,0.03216,0.0011585,0.0011585,0.0011585
19,240.511,1.52872,1.26331,0.01286,0.51564,0.60423,0.51919,0.33657,1.62885,1.96949,0.03622,0.001109,0.001109,0.001109
20,251.929,1.48734,1.23372,0.01291,0.6325,0.56757,0.56948,0.37762,1.50958,1.94327,0.03332,0.0010595,0.0010595,0.0010595
21,263.715,1.49057,1.21804,0.01232,0.72262,0.54826,0.61454,0.42035,1.41197,1.664,0.02986,0.00101,0.00101,0.00101
22,275.442,1.48396,1.17189,0.01192,0.58478,0.63077,0.60345,0.40248,1.48521,1.68839,0.03128,0.0009605,0.0009605,0.0009605
23,287.068,1.46823,1.15502,0.01195,0.5731,0.60618,0.55737,0.38344,1.38055,1.56079,0.02786,0.000911,0.000911,0.000911
24,298.809,1.46646,1.14235,0.0118,0.59105,0.66795,0.60981,0.41438,1.40922,1.68448,0.02926,0.0008615,0.0008615,0.0008615
25,310.744,1.42294,1.11066,0.01175,0.59559,0.65251,0.58454,0.39503,1.35551,1.76816,0.02797,0.000812,0.000812,0.000812
